gender,education,income,religion,ethnicity,age,party_id,immigSelf,euRefVote,k1,k2,k3,k4,survey_wt
2,no_qual,2,c_of_e,white_british,7,libdem,0,remain,1,0,0,0,1.57930542623618
1,a-level,4,no_religion,white_british,7,no_party,0,remain,1,1,0,1,0.74639002682428
1,a-level,8,no_religion,white_british,6,plaid,6,leave,1,1,1,1,0.469964900323632
2,gcse,4,no_religion,white_british,7,cons,0,remain,0,0,0,0,1.3970547197536
1,a-level,5,c_of_e,white_british,7,no_party,4,remain,1,1,1,0,0.706199879268738
2,postgrad,7,no_religion,white_british,3,labour,5,leave,1,0,0,1,0.605141634884477
2,gcse,9,c_of_e,white_british,6,no_party,0,remain,1,1,1,1,0.822025951805134
2,gcse,7,c_of_e,white_british,6,cons,0,remain,1,1,1,1,0.542890705035005
1,no_qual,5,c_of_e,white_british,6,plaid,8,leave,1,1,1,1,0.449781207621137
1,gcse,12,no_religion,white_british,6,cons,0,leave,1,1,1,1,0.49660603525072
1,gcse,9,no_religion,white_british,5,labour,2,remain,1,1,1,1,0.898345528288124
2,a-level,6,other,white_british,4,labour,3,remain,1,0,1,1,0.522950135000384
1,gcse,6,no_religion,white_british,6,no_party,5,remain,1,1,1,1,0.822671096257318
2,a-level,2,no_religion,white_british,5,no_party,10,no_vote_ref,1,1,0,1,0.893811712087212
1,gcse,6,no_religion,white_british,5,no_party,0,remain,1,0,1,1,2.44039538864501
1,a-level,6,no_religion,white_british,3,cons,7,leave,1,0,0,0,0.72153578003155
2,no_qual,2,no_religion,white_british,6,labour,3,leave,1,0,1,1,1.17273942151432
1,no_qual,9,c_of_e,white_british,7,labour,4,remain,1,1,1,0,0.59318421179249
2,postgrad,8,prefer_not_say_religion,white_british,3,plaid,6,leave,1,0,0,1,0.835537248443594
2,a-level,3,c_of_e,white_british,4,no_party,10,no_vote_ref,1,0,0,0,1.58185544718877
2,postgrad,11,methodist,white_british,4,no_party,3,leave,1,0,0,1,0.461057283925816
2,a-level,10,no_religion,white_british,5,cons,5,no_vote_ref,0,1,0,1,0.292332812659189
1,gcse,1,no_religion,white_british,5,labour,0,remain,1,1,1,1,0.193242638010197
2,undergrad,7,no_religion,white_british,6,labour,5,leave,1,0,0,0,0.486131263088052
1,no_qual,2,pentecostal,white_british,7,plaid,10,leave,1,1,1,1,0.580454776048656
2,a-level,6,no_religion,white_british,3,labour,5,leave,0,0,1,1,0.622584544051823
1,a-level,13,no_religion,white_british,4,no_party,0,leave,1,1,1,1,0.144891724567994
2,gcse,1,no_religion,white_british,3,no_party,0,leave,0,0,0,0,1.01899700057068
1,postgrad,5,no_religion,white_british,6,libdem,10,leave,1,1,1,1,0.321912296489659
2,undergrad,6,methodist,white_british,6,no_party,3,no_vote_ref,1,1,1,1,0.707574869330086
2,a-level,7,no_religion,white_british,3,no_party,6,leave,0,0,0,0,0.556342471730854
2,no_qual,11,prefer_not_say_religion,white_british,5,plaid,0,remain,1,1,1,1,0.423879716228311
2,gcse,3,c_of_e,white_british,7,cons,5,leave,1,1,1,1,0.717551327337164
2,a-level,5,c_of_e,white_british,7,cons,5,remain,1,1,1,1,0.662242544997001
2,no_qual,1,catholic,white_irish,7,no_party,5,leave,0,0,0,0,0.817498492129798
2,below_gcse,3,c_of_e,white_british,6,cons,0,remain,1,0,0,1,0.607429939548249
1,undergrad,9,no_religion,white_british,7,cons,2,remain,1,1,1,1,0.787888978541531
2,a-level,8,c_of_e,white_british,7,cons,5,remain,1,1,0,0,0.560609303134141
2,a-level,4,no_religion,white_british,6,libdem,5,leave,1,1,1,1,0.478506519923057
1,gcse,5,presbyterian,white_british,7,cons,0,remain,1,1,1,1,0.860363933519602
2,undergrad,6,no_religion,white_british,2,labour,4,leave,1,0,0,0,1.84343357437608
1,gcse,4,c_of_e,white_british,7,labour,5,leave,1,1,1,1,0.683906713420154
1,undergrad,5,no_religion,white_british,7,labour,8,leave,1,1,1,1,0.382114157508493
2,below_gcse,6,catholic,white_british,6,cons,3,remain,1,0,1,1,0.555207176135941
1,postgrad,12,c_of_e,white_british,7,cons,3,remain,1,1,1,1,0.41284080943227
1,undergrad,3,catholic,white_british,5,no_party,4,remain,1,1,1,1,0.587125674955422
1,no_qual,5,c_of_e,white_british,7,cons,6,remain,1,1,1,1,0.787888978541531
1,a-level,3,judaism,white_british,6,green,0,remain,1,1,1,1,1.13935988857181
2,gcse,4,no_religion,white_british,4,no_party,5,remain,1,0,0,0,1.06001663346987
2,gcse,13,no_religion,white_british,7,libdem,5,leave,1,1,1,1,1.25225609197162
1,gcse,9,no_religion,white_british,6,cons,1,remain,1,1,1,1,0.882253135816267
2,gcse,3,catholic,white_other,4,no_party,5,leave,0,0,0,0,0.807272516159909
2,postgrad,5,other,white_british,4,plaid,5,leave,1,0,1,1,0.682373417331118
2,a-level,8,no_religion,white_british,6,labour,10,leave,1,1,1,1,0.753883106761948
1,gcse,4,no_religion,white_british,4,plaid,5,leave,1,1,1,1,1.24594128800326
2,undergrad,6,no_religion,white_british,7,cons,6,remain,1,1,0,1,0.621066939655758
1,gcse,9,no_religion,white_british,5,cons,0,remain,1,0,1,1,1.94749328748426
1,postgrad,8,no_religion,white_british,4,no_party,7,remain,0,1,0,1,2.37359524290919
1,no_qual,7,c_of_e,white_british,6,labour,2,remain,1,1,1,1,0.969293772194506
2,postgrad,12,c_of_e,white_british,5,labour,1,leave,0,1,1,1,1.08497136479208
1,undergrad,6,presbyterian,white_british,3,no_party,7,leave,1,0,0,1,0.775128362242188
2,a-level,9,baptist,white_british,4,no_party,1,remain,1,0,0,1,0.831494650157197
1,a-level,13,no_religion,white_british,2,cons,0,remain,1,1,1,1,2.30681188820028
1,undergrad,5,no_religion,white_british,4,no_party,4,remain,1,1,0,1,2.53936316772024
1,gcse,12,no_religion,white_british,7,cons,6,remain,1,1,1,1,0.322838646599449
1,undergrad,7,methodist,white_british,7,labour,8,leave,1,1,1,1,0.520360026378999
1,undergrad,3,prefer_not_say_religion,white_british,2,cons,0,remain,0,0,0,0,0.960597720561939
2,gcse,11,presbyterian,white_british,7,cons,3,remain,1,0,1,0,1.06610026514712
1,postgrad,10,no_religion,white_british,5,labour,10,leave,1,1,1,1,0.838137706093329
2,postgrad,11,no_religion,white_british,6,labour,5,leave,1,1,1,1,0.327618050259705
2,gcse,8,no_religion,white_british,5,labour,7,leave,1,0,1,0,1.79337630093093
1,below_gcse,9,no_religion,white_british,5,snp,5,leave,1,1,0,0,1.02979817648395
1,undergrad,8,no_religion,white_irish,3,labour,7,leave,1,1,1,1,1.11207268616585
1,a-level,4,other,white_british,7,cons,5,leave,1,1,1,1,0.450363351661999
2,undergrad,4,presbyterian,white_british,7,cons,0,remain,1,1,1,1,0.404212555370369
2,gcse,7,no_religion,white_british,5,snp,5,leave,1,0,0,0,0.726664343133197
2,a-level,5,no_religion,white_other,2,no_party,5,no_vote_ref,1,0,1,0,2.08531348465998
2,a-level,7,no_religion,white_british,5,cons,5,leave,1,1,1,1,0.484479791824961
1,gcse,9,presbyterian,white_british,7,snp,7,leave,1,1,1,1,0.501564117585393
2,a-level,6,no_religion,white_british,3,no_party,4,remain,1,0,1,0,0.67259595248922
2,gcse,11,no_religion,white_british,3,snp,4,leave,0,0,0,0,0.515388865394853
2,undergrad,4,prefer_not_say_religion,white_british,5,labour,4,leave,1,1,1,1,0.84782380353231
2,undergrad,14,no_religion,white_british,3,labour,7,leave,0,0,0,0,1.08103034547912
1,gcse,6,presbyterian,white_british,6,snp,8,leave,1,1,1,1,0.306201887868053
2,undergrad,3,no_religion,white_british,3,no_party,7,leave,1,1,1,1,0.542781163854189
2,undergrad,12,no_religion,white_british,6,snp,6,remain,1,0,0,1,0.569277947852868
1,below_gcse,3,baptist,white_british,5,no_party,3,leave,1,0,0,0,1.02333818951199
1,a-level,6,presbyterian,white_british,5,cons,3,remain,1,1,1,1,1.01146098554593
1,gcse,4,c_of_e,white_british,7,cons,1,remain,1,0,1,1,0.549588903218009
2,below_gcse,4,no_religion,white_british,7,cons,5,remain,1,1,1,0,1.013850195324
2,a-level,5,baptist,white_british,2,labour,8,leave,1,0,1,1,0.41308696283827
2,no_qual,7,no_religion,white_british,6,no_party,2,leave,1,0,0,0,1.87732963136315
1,undergrad,9,presbyterian,white_british,6,snp,10,leave,1,1,1,1,0.300569111469124
1,no_qual,1,no_religion,white_british,7,cons,0,remain,1,1,0,0,0.545485918899544
1,postgrad,10,no_religion,african,5,labour,5,leave,1,1,1,1,0.297806080689639
1,postgrad,5,no_religion,white_british,3,green,4,remain,1,1,1,1,0.782319965765209
2,a-level,4,no_religion,white_british,6,labour,5,leave,1,1,1,1,0.814308866349821
1,gcse,12,catholic,white_british,7,libdem,2,leave,1,1,1,1,0.305669065647377
1,a-level,6,other,white_british,7,snp,10,leave,0,0,0,0,0.796581428097506
1,gcse,11,no_religion,white_british,7,cons,3,remain,1,1,1,1,0.900236361745475
1,postgrad,7,c_of_e,white_british,7,cons,4,remain,1,1,1,1,0.337951693513492
1,postgrad,13,buddhism,chinese,4,no_party,8,leave,1,1,1,1,0.423921410948149
1,postgrad,14,no_religion,white_british,4,no_party,5,leave,1,1,0,1,1.47794917732607
2,undergrad,11,no_religion,white_british,3,cons,2,leave,1,0,0,0,1.32129756361692
1,undergrad,6,no_religion,white_british,6,snp,10,leave,0,1,1,1,0.511678046131881
2,undergrad,8,methodist,white_british,7,cons,5,remain,1,1,1,1,0.651520683769061
1,undergrad,9,no_religion,white_british,4,snp,1,leave,1,1,1,1,0.45954916056858
1,undergrad,14,no_religion,white_british,4,snp,10,leave,1,1,1,1,0.677085525567297
2,undergrad,10,no_religion,white_british,6,snp,8,leave,1,1,1,1,0.329397644155783
2,a-level,2,other,white_british,7,no_party,0,leave,1,1,1,0,1.05258968838958
1,undergrad,13,no_religion,white_british,3,snp,7,leave,1,1,1,1,0.386534575632199
2,postgrad,8,c_of_e,white_british,7,cons,10,remain,1,1,1,1,0.382715252489737
1,undergrad,13,presbyterian,white_british,5,no_party,7,remain,1,1,1,1,0.814372553332774
2,a-level,2,no_religion,white_british,2,no_party,2,leave,1,0,0,0,2.31595247156439
1,undergrad,8,no_religion,white_british,6,snp,6,leave,1,1,1,1,0.753890614840639
2,a-level,3,presbyterian,white_british,7,cons,5,remain,1,1,1,1,0.693102559946188
1,undergrad,6,no_religion,prefer_not_say_ethnic,7,cons,0,remain,0,1,1,1,1.00138867974992
1,a-level,7,presbyterian,white_british,7,cons,6,leave,1,1,1,1,0.305669065647377
2,gcse,7,no_religion,white_british,5,snp,0,no_vote_ref,1,0,0,0,3.77838673621373
1,no_qual,13,no_religion,white_british,5,green,0,no_vote_ref,1,1,1,0,6.56806461608718
2,undergrad,6,no_religion,white_british,5,labour,5,leave,1,1,1,1,0.697801579509611
2,postgrad,15,no_religion,white_british,5,no_party,5,leave,1,1,1,0,0.338019391934365
2,a-level,1,no_religion,white_british,6,snp,6,remain,1,1,1,1,0.96911830773133
2,a-level,7,presbyterian,white_british,3,brexit_party,0,remain,1,0,0,0,0.745686302852548
2,undergrad,8,no_religion,white_other,4,snp,8,leave,1,0,1,1,0.74144525181341
2,undergrad,6,no_religion,white_british,2,snp,2,leave,1,1,1,1,0.973332802080564
1,gcse,11,presbyterian,white_british,6,cons,0,leave,1,1,1,1,0.628240456925185
1,no_qual,4,no_religion,white_british,7,snp,9,leave,1,1,1,1,0.501564117585393
1,a-level,11,no_religion,white_british,5,no_party,7,leave,1,1,1,1,0.535913605080788
2,undergrad,4,no_religion,white_british,7,snp,6,leave,1,1,1,1,0.627987125573763
1,a-level,14,no_religion,white_british,5,snp,7,leave,1,1,1,1,0.595801818986817
1,undergrad,10,no_religion,white_british,6,no_party,5,leave,1,1,1,1,0.535913605080788
1,undergrad,3,no_religion,white_british,3,no_party,8,leave,1,0,1,0,1.18088507320033
2,gcse,8,no_religion,white_british,5,labour,6,leave,1,0,0,0,1.447879623133
1,postgrad,11,no_religion,white_british,3,libdem,7,leave,0,0,0,1,0.72166856630667
1,a-level,7,no_religion,white_british,7,cons,5,remain,1,1,1,1,0.809747299214267
2,undergrad,10,presbyterian,white_british,6,no_party,5,leave,1,0,0,0,1.10896316247127
2,a-level,3,no_religion,white_british,6,libdem,0,leave,1,1,1,1,0.626246936442797
1,postgrad,9,presbyterian,white_british,7,no_party,5,leave,1,1,1,1,3.04086676952102
1,gcse,5,orthodox_christian,white_british,7,labour,9,leave,1,1,1,1,0.845995611661576
1,undergrad,13,no_religion,white_british,4,libdem,5,leave,1,0,0,0,0.607007644165972
